nearest_station,latitude,longitude,distance_to_yumeshima_km
喜連瓜破,34.6092271,135.5521411,15.604201852590652
福,34.6998238,135.4426068,7.219669483005711
今里(近鉄),34.6646652,135.5498616,14.729222669115453
大阪ビジネスパーク,34.6915824,135.5298842,13.573841661310247
帝塚山,34.6218383,135.498352,10.489583611582718
針中野,34.6170617,135.5330003,13.67406678739714
西梅田,34.699882,135.49556,11.071925694992265
海老江,34.69521599999999,135.4735743,9.076399248795976
朝潮橋,34.660821,135.4487601,5.50557782083914
出来島,34.7069633,135.4370367,7.521184055210677
だいどう豊里,34.7437394,135.5446649,17.48415720307314
崇禅寺,34.7310707,135.5102257,14.124868110878234
千林,34.7243486,135.5548716,17.13463191819341
鶴ケ丘,34.6176542,135.516735,12.23280735846163
粉浜,34.6180025,135.4916461,10.06073140802084
玉造(大阪メトロ),34.6765279,135.5293247,13.073890201850864
南巽,34.6431864,135.5532536,15.000734530680193
杉本町,34.5938378,135.5029215,12.204010545656956
美章園,34.638556,135.523726,12.35689172709502
住吉大社,34.6127684,135.4903549,10.184943028933002
長原(大阪),34.6021433,135.573569,17.712584608765294
ＪＲ難波,34.6660463,135.4952492,9.794055403777756
姫島,34.7044658,135.4582935,8.595122028343344
文の里,34.6359401,135.518113,11.8867811175293
我孫子道,34.6009693,135.4890231,10.704956256178455
天下茶屋,34.6371933,135.4967073,9.930522628452218
心斎橋,34.6747701,135.5003959,10.45304940312649
東粉浜,34.6180858,135.4925626,10.135169960687923
岸里玉出,34.6295187,135.4951059,9.962801727181462
住之江公園,34.6091445,135.4729536,8.975972118710606
大阪,34.7024854,135.4959506,11.245586289749276
大阪梅田(阪急),34.7050271,135.4984269,11.58392387869526
花園町,34.644166,135.496506,9.81555399946664
井高野,34.7601537,135.5473531,18.798134275652377
姫松,34.6241336,135.5030743,10.825069479933546
住ノ江,34.6052275,135.4871084,10.310986738835814
加美,34.62692,135.566667,16.43219259385838
瑞光四丁目,34.7523449,135.5446416,18.058641201213486
コスモスクエア,34.6427224,135.412543,2.3247759834513975
松虫,34.6356597,135.509828,11.142687866321612
我孫子前,34.6005646,135.4970673,11.359595650431208
岸里,34.634667,135.4939389,9.731644459155126
下新庄,34.7469144,135.5199444,15.939612426595671
天王寺駅前,34.6461144,135.5128547,11.292180740189758
鶴見緑地,34.7107453,135.5802209,18.625729607395872
長居,34.610846,135.5125617,12.133487773852815
南方(大阪),34.7257421,135.4995491,12.993590349516255
近鉄日本橋,34.6671526,135.5061054,10.793788471811474
相川,34.7573765,135.5335821,17.643733188130014
北新地,34.6983538,135.4969606,11.103882636874824
南田辺,34.62567629999999,135.5206237,12.331718917847988
駒川中野,34.6215586,135.5328645,13.529308627077576
今川(大阪),34.6288554,135.5381684,13.827511583469464
塚西,34.6235399,135.4946536,10.108888464225172
北天下茶屋,34.6365418,135.5001902,10.256732673777885
梅田,34.7032152,135.4976426,11.420102148421304
トレードセンター前,34.6386859,135.4121555,2.521036491660007
衣摺加美北,34.638525,135.567037,16.298143405625027
守口,34.7383302,135.5640688,18.63348025463123
聖天坂,34.6332531,135.4995385,10.264937834563332
新加美,34.6272382,135.5681418,16.559337301231125
なにわ橋,34.6928554,135.5061422,11.598578584880467
守口市,34.7353673,135.565158,18.551667469874474
南港口,34.6138298,135.4466746,6.709090863630613
鴻池新田,34.6988174,135.5978366,19.75001163218423
帝塚山四丁目,34.6177614,135.499013,10.698608760835189
萩ノ茶屋,34.6456219,135.4990851,10.038336676674236
帝塚山三丁目,34.6206796,135.5008388,10.746370188973644
動物園前,34.6488385,135.5035068,10.424654910090249
